day,method,decision_gate_slot,terminal_completion_index,future_arrivals_mwh_after_gate,future_arrivals_used_for_decision,certificate_scope,profile_role,response_profile_role,response_scoring,committed_arrivals_mwh,reserved_future_arrivals_mwh,uncommitted_arrivals_excluded_from_payment_mwh,selected_response_dr_price_per_mwh,selected_response_projection_weight,eligible_reference_nrmse,payment_eligibility,event_upper_margin_mw,post_response_event_service_mwh,settlement_rule,schema_version,profile_checksum,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh,planned_response_mwh,response_tracking_mae_mw,response_tracking_rmse_mw,response_plan_contract_mae_mw
61,Committed-ledger reference schedule,62,95,201.48347672432212,False,committed-ledger eligibility reference,submitted baseline contract,same profile as submitted baseline,baseline-credit audit,139.47027387385126,35.2032661782672,201.48347672432212,10.0,1.0,0.0,committed-ledger-only,,,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,6.698090471557003,19.41626709378441,1.5290698343405054,0.5274880098358368,12.698090471556998,-6.698090471557,96.19938895220062,0.0,0.0,0.0,0.0,53.584723772456,0.0,53.584723772456,0.0,0.0,53.584723772456,0.0,0.0,0.0,-31.048204755384827,,,,
61,Committed-ledger rolling-service verifier,62,95,201.48347672432212,False,committed-ledger response; submitted baseline frozen before event,submitted baseline contract,post-event operating plan,planned-versus-metered response delivery,139.47027387385126,35.2032661782672,201.48347672432212,10.0,1.0,0.183537019226387,committed-ledger-only,118.0,0.0,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,6.715638923844429,18.542316401533053,1.4602444708569993,0.5288699855216088,12.698090471556998,-6.323090471556999,90.48016418879946,3.0000000000000004,1.4298061908502897,1.4298061908502897,0.0,52.15491758160571,1.4298061908502897,53.584723772456,0.0,0.0,52.15491758160571,1.0,0.0266830934301698,0.0519792204642644,3.0000000000000004,3.0000000000000004,3.881025594423104,5.788907711527016,0.375
61,Complete-ledger risk-constrained verifier,62,95,201.48347672432212,True,ex-post reference audit,submitted baseline contract,same profile as submitted baseline,baseline-credit audit,139.47027387385126,35.2032661782672,201.48347672432212,10.0,1.0,1.2419872473529738,complete-ledger,,,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,5.02485616364076,13.497350742274458,1.0629433435293092,0.39571746436176,12.698090471556998,-2.1716287001274983,72.84264862198717,24.83951678759218,24.83951678759218,24.83951678759218,0.0407324702092144,28.785939455073034,24.798784317382967,53.584723772456,0.0407324702092144,0.0016398253861991,28.785939455073034,0.9983601746138008,0.462795785281816,0.6324265084440298,5.163489416051188,,,,
61,Decision-time truncated-ledger verifier,62,95,201.48347672432212,False,gate-causal frozen contract baseline,submitted baseline contract,same profile as submitted baseline,baseline-credit audit,139.47027387385126,35.2032661782672,201.48347672432212,10.0,1.0,0.183537019226387,committed-ledger-only,,,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,6.715638923844429,18.542316401533053,1.4602444708569993,0.5288699855216088,12.698090471556998,-6.323090471556999,90.48016418879946,1.4298061908502897,1.4298061908502897,1.4298061908502897,0.0,52.15491758160571,1.4298061908502897,53.584723772456,0.0,0.0,52.15491758160571,1.0,0.0266830934301698,0.0519792204642644,-28.048204755384827,,,,
62,Committed-ledger reference schedule,62,95,240.8377711521884,False,committed-ledger eligibility reference,submitted baseline contract,same profile as submitted baseline,baseline-credit audit,481.52990035378286,36.405245147963385,240.8377711521884,10.0,1.0,0.0,committed-ledger-only,,,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,14.423387747759378,31.270521825089087,1.5311133594141235,0.706219160400642,20.423387747759364,-14.423387747759367,118.0,0.0,0.0,0.0,0.0,115.38710198207494,0.0,115.38710198207494,0.0,0.0,115.38710198207494,0.0,0.0,0.0,-93.49664356427336,,,,
62,Committed-ledger rolling-service verifier,62,95,240.8377711521884,False,committed-ledger response; submitted baseline frozen before event,submitted baseline contract,post-event operating plan,planned-versus-metered response delivery,481.52990035378286,36.405245147963385,240.8377711521884,10.0,1.0,0.187043726538815,committed-ledger-only,118.0,0.0,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,14.430080457145426,30.588310638606337,1.497709930222627,0.7065468586977467,20.423387747759364,-14.048387747759364,112.10708335017678,3.0,1.473229162455803,1.473229162455803,0.0,113.91387281961914,1.473229162455803,115.38710198207494,0.0,0.0,113.91387281961914,1.0,0.0127677109239182,0.0252135031285122,3.0,3.0,11.68708044553417,14.601495575471263,0.375
62,Complete-ledger risk-constrained verifier,62,95,240.8377711521884,True,ex-post reference audit,submitted baseline contract,same profile as submitted baseline,baseline-credit audit,481.52990035378286,36.405245147963385,240.8377711521884,10.0,1.0,3.0427556213885985,complete-ledger,,,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,8.769749336374817,16.600362414209723,0.8128114012833614,0.4293973871860186,20.423387747759364,-2.4352728813500555,83.69943970653435,70.56701311117547,70.56701311117547,70.56701311117547,0.0,44.82008887089949,70.56701311117547,115.38710198207494,0.0,0.0,44.82008887089949,1.0,0.6115676007023546,0.7589723204112825,2.408275367001128,,,,
62,Decision-time truncated-ledger verifier,62,95,240.8377711521884,False,gate-causal frozen contract baseline,submitted baseline contract,same profile as submitted baseline,baseline-credit audit,481.52990035378286,36.405245147963385,240.8377711521884,10.0,1.0,0.187043726538815,committed-ledger-only,,,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,14.430080457145426,30.588310638606337,1.497709930222627,0.7065468586977467,20.423387747759364,-14.048387747759364,112.10708335017678,1.473229162455803,1.473229162455803,1.473229162455803,0.0,113.91387281961914,1.473229162455803,115.38710198207494,0.0,0.0,113.91387281961914,1.0,0.0127677109239182,0.0252135031285122,-90.49664356427336,,,,
63,Committed-ledger reference schedule,62,95,328.4016881543871,False,committed-ledger eligibility reference,submitted baseline contract,same profile as submitted baseline,baseline-credit audit,309.4691837777694,38.07997669330497,328.4016881543871,10.0,1.0,0.0,committed-ledger-only,,,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,15.094610984490776,35.0990722306465,1.6638881018688674,0.7155671652626671,21.094610984490764,-15.09461098449076,118.0,0.0,0.0,0.0,0.0,120.75688787592613,0.0,120.75688787592613,0.0,0.0,120.75688787592613,0.0,0.0,0.0,-70.75234760794291,,,,
63,Committed-ledger rolling-service verifier,62,95,328.4016881543871,False,committed-ledger response; submitted baseline frozen before event,submitted baseline contract,post-event operating plan,planned-versus-metered response delivery,309.4691837777694,38.07997669330497,328.4016881543871,10.0,1.0,0.1523441112443574,committed-ledger-only,118.0,0.0,contract-capped-after-event: payable credit is the pointwise intersection of submitted baseline credit; frozen contract baseline credit; and the closed event meter; oracle overpayment is diagnostic only,13,5e189fa4cce474091ec334ea1f2e3d4ea97aee08d232c7a2e38cfb2c6e7e63ff,15.19613932797778,34.648387122634105,1.6425231613945563,0.7203801643533662,21.094610984490764,-14.71961098449076,118.0,3.000000000000001,1.0938866260519775,1.0938866260519775,0.0,119.66300124987416,1.0938866260519775,120.75688787592613,0.0,0.0,119.66300124987416,1.0,0.0090585857692516,0.0179545288985294,3.000000000000001,3.000000000000001,8.844043450992864,11.9996872280603,0.3750000000000001
